area,perimeter,compactness,length,width,asymmetry,groove,class
15.26,14.84,0.871,5.763,3.312,2.221,5.22,1
14.88,14.57,0.8811,5.554,3.333,1.018,4.956,1
14.29,14.09,0.905,5.291,3.337,2.699,4.825,1
13.84,13.94,0.8955,5.324,3.379,2.259,4.805,1
16.14,14.99,0.9034,5.658,3.562,1.355,5.175,1
14.38,14.21,0.8951,5.386,3.312,2.462,4.956,1
14.69,14.49,0.8799,5.563,3.259,3.586,5.219,1
14.11,14.1,0.8911,5.42,3.302,2.7,5.0,1
16.63,15.46,0.8747,6.053,3.465,2.04,5.877,1
16.44,15.25,0.888,5.884,3.505,1.969,5.533,1
15.26,14.85,0.8696,5.714,3.242,4.543,5.314,2
14.03,14.16,0.8796,5.438,3.201,1.717,5.001,2
13.89,14.02,0.888,5.439,3.199,3.986,5.097,2
13.78,14.06,0.8759,5.479,3.156,3.136,4.872,2
13.74,14.05,0.8744,5.482,3.114,2.932,4.825,2
14.59,14.28,0.8993,5.351,3.333,4.185,4.781,2
13.99,13.83,0.9183,5.119,3.383,5.234,4.781,2
15.69,14.75,0.9058,5.527,3.514,1.599,5.046,2
14.7,14.21,0.9153,5.205,3.466,1.767,4.649,2
12.72,13.57,0.8686,5.226,3.049,4.102,4.914,3
13.3,13.85,0.8871,5.348,3.156,2.587,5.056,3
13.34,13.95,0.862,5.389,3.074,5.995,5.307,3
12.02,13.33,0.8503,5.35,3.052,4.277,4.825,3
12.44,13.59,0.8462,5.319,3.114,4.924,5.0,3
12.38,13.44,0.8609,5.219,3.132,3.812,4.956,3
12.11,13.47,0.8392,5.159,3.032,5.879,4.781,3
13.45,13.85,0.879,5.348,3.156,2.587,5.056,3
13.16,13.82,0.8662,5.454,3.135,3.769,5.045,3























































